DriverNumber,EventName,Year,ActProblemClass
11,Bahrain Grand Prix,2022,Others
1,Bahrain Grand Prix,2022,Others
10,Bahrain Grand Prix,2022,Power Unit
77,Saudi Arabian Grand Prix,2022,Cooling System
14,Saudi Arabian Grand Prix,2022,Cooling System
3,Saudi Arabian Grand Prix,2022,Transmission and Gearbox
22,Saudi Arabian Grand Prix,2022,Power Unit
1,Australian Grand Prix,2022,Others
20,Miami Grand Prix,2022,Aerodynamics and Tyres
10,Miami Grand Prix,2022,Suspension and Drive
24,Miami Grand Prix,2022,Cooling System
24,Spanish Grand Prix,2022,Power Unit
16,Spanish Grand Prix,2022,Power Unit
23,Monaco Grand Prix,2022,Others
20,Monaco Grand Prix,2022,Cooling System
18,Azerbaijan Grand Prix,2022,Suspension and Drive
20,Azerbaijan Grand Prix,2022,Power Unit
24,Azerbaijan Grand Prix,2022,Suspension and Drive
16,Azerbaijan Grand Prix,2022,Power Unit
55,Azerbaijan Grand Prix,2022,Suspension and Drive
47,Canadian Grand Prix,2022,Engine
11,Canadian Grand Prix,2022,Transmission and Gearbox
31,British Grand Prix,2022,Others
77,British Grand Prix,2022,Transmission and Gearbox
55,Austrian Grand Prix,2022,Power Unit
6,Austrian Grand Prix,2022,Aerodynamics and Tyres
22,French Grand Prix,2022,Aerodynamics and Tyres
77,Hungarian Grand Prix,2022,Power Unit
77,Dutch Grand Prix,2022,Engine
22,Dutch Grand Prix,2022,Transmission and Gearbox
3,Italian Grand Prix,2022,Others
18,Italian Grand Prix,2022,Engine
14,Italian Grand Prix,2022,Cooling System
5,Italian Grand Prix,2022,Engine
31,Singapore Grand Prix,2022,Engine
14,Singapore Grand Prix,2022,Engine
23,Japanese Grand Prix,2022,Suspension and Drive
14,Mexico City Grand Prix,2022,Engine
4,São Paulo Grand Prix,2022,Transmission and Gearbox
44,Abu Dhabi Grand Prix,2022,Suspension and Drive
14,Abu Dhabi Grand Prix,2022,Cooling System
31,Bahrain Grand Prix,2023,Others
16,Bahrain Grand Prix,2023,Engine
81,Bahrain Grand Prix,2023,Others
23,Saudi Arabian Grand Prix,2023,Braking System
18,Saudi Arabian Grand Prix,2023,Engine
63,Australian Grand Prix,2023,Engine
24,Azerbaijan Grand Prix,2023,Cooling System
63,Canadian Grand Prix,2023,Braking System
2,Canadian Grand Prix,2023,Others
27,Austrian Grand Prix,2023,Power Unit
20,British Grand Prix,2023,Engine
31,British Grand Prix,2023,Others
31,Italian Grand Prix,2023,Suspension and Drive
22,Italian Grand Prix,2023,Engine
31,Singapore Grand Prix,2023,Transmission and Gearbox
18,Japanese Grand Prix,2023,Aerodynamics and Tyres
55,Qatar Grand Prix,2023,Others
14,United States Grand Prix,2023,Aerodynamics and Tyres
63,São Paulo Grand Prix,2023,Cooling System
77,São Paulo Grand Prix,2023,Suspension and Drive
24,São Paulo Grand Prix,2023,Engine
22,Las Vegas Grand Prix,2023,Transmission and Gearbox
27,Las Vegas Grand Prix,2023,Engine
10,Saudi Arabian Grand Prix,2024,Transmission and Gearbox
44,Australian Grand Prix,2024,Engine
1,Australian Grand Prix,2024,Braking System
24,Japanese Grand Prix,2024,Transmission and Gearbox
16,Canadian Grand Prix,2024,Engine
63,British Grand Prix,2024,Cooling System
10,British Grand Prix,2024,Transmission and Gearbox
10,Hungarian Grand Prix,2024,Suspension and Drive
22,Italian Grand Prix,2024,Cooling System
23,Singapore Grand Prix,2024,Cooling System
14,Mexico City Grand Prix,2024,Braking System
23,Las Vegas Grand Prix,2024,Power Unit
10,Las Vegas Grand Prix,2024,Engine
30,Abu Dhabi Grand Prix,2024,Braking System
43,Abu Dhabi Grand Prix,2024,Engine
55,Bahrain Grand Prix, 2019,Transmission and Gearbox
3,Japanese Grand Prix,2019,Braking System
27,Japanese Grand Prix,2019,Braking System
20,Emilia Romagna Grand Prix,2020,Transmission and Gearbox
10,Bahrain Grand Prix,2021,Suspension and Drive
6,Bahrain Grand Prix,2021,Others
77,Monaco Grand Prix,2021,Aerodynamics and Tyres
24,French Grand Prix,2022,Power Unit
20,Singapore Grand Prix,2024,Aerodynamics and Tyres
